HOTEL_NAME,ADDRESS,COMMUNITY,Parish,Longitude,Latitude
Rio Blanco Village,Ocho Rios P.O.,Ocho Rios,St. Ann,-77.39085693,18.46309463
Shaw Park Beach Hotel,Ocho Rios P.O. Box 17,Ocho Rios,St. Ann,-77.15880628,18.42554983
Arizon Inn,Lot 8 Block M,Port Henderson,St. Cather,-78.36551985,"18.262900877,"
Knolford Polo Ranch,"c/o 12 Trinidad Terrace, Kgn",Riversdale,St. Cather,-77.86352293,18.51895847
Ashton Great House &,"P.O. Box 104 Luana, Black Riv",Black River,St. Elizab,-78.3653026,18.26293117
Bridge House Inn,14 Crane Road Black River P.O,Black River,St. Elizab,-78.34176084,"18.286789017,"
Invercauld Hotel,"High Street, Black River",Black River,St. Elizab,-77.87957558,18.50071383
Irie Sandz,,Black River,St. Elizab,-77.87822609,18.50094663
Port of Call,136 Crane Road,Black River,St. Elizab,-77.41046728,18.45967765
Siwind Guest House,"Frenchman's District, Treasur",Black River,St. Elizab,-77.11074517,18.4064294
Waterloo Guest House,"44 High Street, Black River P",Black River,St. Elizab,-76.8949617,18.39286884
Windswept,Fullerswood Road,Black River,St. Elizab,-76.78596732,18.00274259
Bucaneer Villa,Calabash Bay P.A.,Calabash Bay,St. Elizab,-78.3413571,18.27815675
Four M's Cottage,Treasure Beach P.O. Box 5,Calabash Bay,St. Elizab,-77.96069611,18.44737762
Rainbow Tree,Bully's Bay District,Calabash Bay,St. Elizab,-77.39470769,18.45238503
Sunset Beach Resort,"Calabash Bay, Calabash P.A.",Calabash Bay,St. Elizab,-77.09980753,18.40807983
Villa Caprice Guest H,,Calabash Bay,St. Elizab,-77.01503981,18.4097791
Folichon Guest House,Calabash Bay P.A.,Frenchman,St. Elizab,-77.96720605,18.08999662
Shakespear's Guest Ho,Calabash Bay P.A.,Frenchman,St. Elizab,-77.1590858,18.42571331
Cocquina & Blue Marli,"Treasure Beach, P.O Box 5",Great Bay,St. Elizab,-78.11249307,18.23736033
Ital Rest,Calabash Bay P.A.,Great Bay,St. Elizab,-77.87691186,18.50322745
Comfort Villa,Junction P.O.,Junction,St. Elizab,-78.07761468,18.45056937
Chariots Guest House,Leeds P.A.,Leeds,St. Elizab,-78.33685234,18.30727549
Apple Valley Great Ho,Magotty P.O. St. Elizabeth,Magotty,St. Elizab,-78.36565054,18.26389306
Crescent Moon Villa,Parottee Bay Rd.,Parotte Bay,St. Elizab,-78.0609041,18.44764118
Parottee Beach Resort,Black River P.O. Box 96,Parottee Beach,St. Elizab,-77.52778548,18.48437186
Dan Bar Guest House,Trevmar Park Santa Cruz P.O.,Santa Cruz,St. Elizab,-78.05885492,18.44733491
San Pedro,Gail's Supermarket,Southfield,St. Elizab,-77.31906708,18.45279055
Seaview Villa,"Seaview District, Southfield",Southfield,St. Elizab,-77.1630286,18.42680176
Golden Sands Guest Ho,Frenchman's District,Treasure Beach,St. Elizab,-77.92809027,18.48033824
Jake's Village,Jake's Restaraunt & Guest Hou,Treasure Beach,St. Elizab,-77.87456894,18.5040674
Lyric,Calabash Bay P.O.,Treasure Beach,St. Elizab,-77.83829364,17.96430916
May Day Guest House,Calabash Bay Road,Treasure Beach,St. Elizab,-77.75401341,17.88384423
Seaswell,Great Bay,Treasure Beach,St. Elizab,-77.1653059,18.4304913
Treasure Beach Hotel,P.O. Box 5 Black River,Treasure Beach,St. Elizab,-77.05430637,"18.402445676,"
Treasure Cot,Calabash Bay Road,Treasure Beach,St. Elizab,-77.05116667,18.40649554
Anchorage Villa,"P.O. Box 590, Montego Bay P.O",Belmont,St. James,-78.36571876,18.26031686
Anchor Listing,"Content District, P.O. 115, R",Content District,St. James,-78.36637839,18.26494781
Garden Cottage,"81 Ediburgh Avenue, P.O. Box",Coral Gardens,St. James,-77.94212288,18.44221706
Northern Lights,136 Melrose Terrace,Coral Gardens,St. James,-77.53516594,18.47816436
Sea Shell Inn,"Mable Owen Drive, White Sands",Doctors Cave,St. James,-77.16931056,18.42633701
Peeny Wally,"Silver Sands Estate, P.O. Box",Duncans,St. James,-77.52630419,18.48356301
All Seasons Beach Res,"Barrett  Hall, Greenwood, Lit",Greenwood,St. James,-78.36659499,18.26356336
Royal Reef Hotel,Lot 99 P.O. Box 10 Greenwood,Greenwood,St. James,-77.32268215,18.45837565
Blue Horizon,Lot 388 Fielding Avenue,Ironshore,St. James,-78.34626865,18.2746167
Burlingame Villa,251 Ferguson Avenue,Ironshore,St. James,-78.34063004,18.28967088
Caesar's Villa,,Ironshore,St. James,-78.34009581,18.28716269
Carib Sands Villa,P.O. Box 167,Ironshore,St. James,-78.33917497,18.29546856
Carib Vista,337 Hartfield South,Ironshore,St. James,-78.33911899,"18.294293819,"
Caribbean Fairways,35 Springfarm Rd. White Sands,Ironshore,St. James,-78.33889945,18.29041084
Casa Cerafa,"233 Bratton Rd, Coral Gardens",Ironshore,St. James,-78.33805385,18.30013057
East of Eden Villa,"295 Charles Avenue,",Ironshore,St. James,-78.05408151,"18.444864716,"
El Nido,"246 Bratton Road, P.O. Box 11",Ironshore,St. James,-78.05310368,18.44827781
Executive Place,"296 Charles Avenue, Coral Gar",Ironshore,St. James,-78.01436593,18.45288563
Fair Way Manor,"38 Spring Farm Road, P.O. Box",Ironshore,St. James,-78.01158528,18.45609951
Fairway House,"Lot 1050 Irving Drive, Coral",Ironshore,St. James,-78.01002279,"18.455750445,"
Fi - Mi - Tattoo,Fairway Avenue,Ironshore,St. James,-77.97960716,18.10521042
Fort Leaford Villa,"355 Sugar Mill Road, Coral Ga",Ironshore,St. James,-77.96553068,18.44902829
Gemini Villa,459 Donchester Drive,Ironshore,St. James,-77.9414145,18.45911903
Graceville,"299 Charles Avenue, White San",Ironshore,St. James,-77.9271554,18.48924415
Greenway Contentment,"197 Patterson Avenue, Coral G",Ironshore,St. James,-77.9265845,18.49054623
Heaven's Gate,"390 Fielding Avenue, P.O. Box",Ironshore,St. James,-77.92252582,18.47765221
Hi Scud,24 Hart Field North,Ironshore,St. James,-77.92052632,"18.469644467,"
Hilldean,485 Dorchester Drive,Ironshore,St. James,-77.91465869,18.47573763
Holiday Retreat,"259 Ferguson Avenue, Coral Ga",Ironshore,St. James,-77.91182587,18.50697056
Hope Ville,258 Ferguson Avenue,Ironshore,St. James,-77.90839633,18.47122375
Island Breeze Villa,414 Fielding Avenue,Ironshore,St. James,-77.87737413,18.50528215
Jay Hawk,306 Charles Avenue,Ironshore,St. James,-77.87011432,18.49977484
Kent House,"Flower Avenue, Torado Heights",Ironshore,St. James,-77.86587777,18.5071063
Kenwood Villa,469 Dorchester Avenue,Ironshore,St. James,-77.86578808,18.51958276
Key Largo,256 Sugar Mill Road,Ironshore,St. James,-77.86500269,18.51640134
Kingsville,"152 Morgan Road, Coral Garden",Ironshore,St. James,-77.86431301,18.51813845
La Casa Tamica,139 Patterson Avenue,Ironshore,St. James,-77.86165827,18.51886873
Lady Wood,"Springfarm, P.O. Box 80",Ironshore,St. James,-77.85663179,18.51585805
Lincoln Liberty Manor,569 Lincoln Place,Ironshore,St. James,-77.85171245,"18.516557751,"
Lochton Hill,"248 Bratton Road, Coral Garde",Ironshore,St. James,-77.8457534,18.52366445
Mahogany View Villa,"70 Mahogany Way, Springfarm",Ironshore,St. James,-77.81237686,18.52276119
Marstan,"150 Torado Drive, Torado Heig",Ironshore,St. James,-77.75883451,17.87620884
Megelia I,"1044 Irving Drive, P.O. Box 1",Ironshore,St. James,-77.74238453,18.50302909
Megelia III,"3 Queens Drive, P.O. Box 174",Ironshore,St. James,-77.74055389,17.86984467
Melody Villa,"231 Bratton Road, Coral Garde",Ironshore,St. James,-77.74016695,17.88851687
No Problem,1045 Irving Drive,Ironshore,St. James,-77.53541501,18.48645511
Ocean Crest Villas,"358 Montrose Cresent, Coral G",Ironshore,St. James,-77.53504349,18.48481653
Osborne Villa,217 Patterson Avenue,Ironshore,St. James,-77.53100985,18.48414509
Oscar's Villa,"383 Hudson Avenue, Coral Gard",Ironshore,St. James,-77.53052093,18.48273168
Paradise Villa,"172 Patterson Avenue, P.O. Bo",Ironshore,St. James,-77.52824025,18.48229494
Pink Hibiscus,237 Bratton Road,Ironshore,St. James,-77.49672256,18.47356261
PI's Haven,"325 Charles Avenue, Coral Gar",Ironshore,St. James,-77.48758842,18.15942191
Sea Green,1039 Irving Drive,Ironshore,St. James,-77.18337084,18.42826673
Sherville,Sugar Mill Road,Ironshore,St. James,-77.15849983,"18.424289737,"
Sirocco Villa,Fielding Avenue,Ironshore,St. James,-77.11148036,18.40410757
Skylark Villa,"Pimento Way, Spring Farm",Ironshore,St. James,-77.11044798,18.40383358
Stout Grange,31 Hartfield North,Ironshore,St. James,-77.10572218,18.41326633
The Atrium,1084 Morgan Rd. Ironshore Mon,Ironshore,St. JAmes,-77.08581541,18.41065782
Trillium Villa,"289 Ferguson Avenue, Coral Ga",Ironshore,St. James,-77.04332194,"18.4224945,0<"
Tropical Holiday Vill,"401 Fielding Avenue, P.O. Box",Ironshore,St. James,-77.04275824,18.42202777
Villa Bahia,"447 Dorchester Drive, P.O. Bo",Ironshore,St. James,-77.03121992,18.41741052
Villa Combolo,245 Bratton Road,Ironshore,St. James,-77.01398026,18.40649211
Villa Deja Vu,"448 Lambert Avenue, P.O. Box",Ironshore,St. James,-76.98648168,18.40616848
Villa Mawr,"8 Cottonwood Way, Springfarm",Ironshore,St. James,-76.97982747,18.40417461
Villa Olga,"9 Churchill Place, Coral Gard",Ironshore,St. James,-76.96228836,18.40037809
Villa Robin's Nest,"14 Churchill Place, Coral Gar",Ironshore,St. James,-76.95230557,"18.356880484,"
Villa Swarm,"260 Ferguson Avenue, P.O. Box",Ironshore,St. James,-76.95228753,18.39988264
Jamaica Rose,427 Ferguson Avenue,"Ironshore, Montego",St. James,-77.8720411,18.50443543
Kenwood Ville,76 Dover Avenue,"Ironshore, Montego",St. James,-77.86534957,18.51812169
Richmond Hill,"Union Street, P.O. Box 362",Montegio Bay,St. James,-77.39215372,18.46080718
Appleton Castle,25 Appleton Hall,Montego Bay,St. James,-78.36553991,18.2719155
Ashantis Inn,50 Thompson Street,Montego Bay,St. James,-78.36540993,18.25706635
Belvedere Beach Hotel,33 Gloucester Ave. Montego BA,Montego Bay,St. James,-78.35820798,18.26965778
Big Apple Accomodatio,Pimento Way,Montego Bay,St. James,-78.35643235,18.24606213
Brandon Hill Guest Ho,28 Peter Pan Ave. P.O. Box 18,Montego Bay,St. James,-78.34278745,18.28541448
Buccaneer Beach Hote,7 Kent Ave. Montego Bay,Montego Bay,St. JAmes,-78.3410964,18.28831275
Caribic House,"69 Gloucester Avenue, White S",Montego Bay,St. James,-78.33852601,18.29157893
Casa Blanca Beach Clu,Gloucester Ave. P.O. Box 469,Montego Bay,St. James,-78.33814322,18.31192669
Comfort Guest House,Lot 55 Jarrett Terrace P.O. B,Montego Bay,St. James,-78.07797786,18.45022859
Coral Cliff Hotel,165 Gloucester Ave. P.O. Box,Montego Bay,St. James,-78.07552078,18.44924496
Corton House,"1 Cottonwood Way, Rose Hall",Montego Bay,St. James,-78.06240387,18.44886499
Coyaba Beach Resort,"Mahoe Bay, Little River P.O.",Montego Bay,St. James,-78.06098517,"18.445386007,"
Doctors Cave Beach,Gloucester Ave P.O. Box 94,Montego Bay,St. James,-78.05595374,18.44739184
Gloucestershire Hotel,Gloucester Ave P.O. Box 86,Montego Bay,St. James,-77.92867598,18.48188096
Green Reef Villa,"White Sands Beach, Mahoe Bay",Montego Bay,St. James,-77.926607,18.48770029
Guest House,29 Gloucester Avenue,Montego Bay,St. James,-77.92547761,18.48219126
Half Moon,"Rose Hall, P.O. Box 80",Montego Bay,St. James,-77.92410487,18.4737547
Harbour Way Hotel,11 Harbour Street,Montego Bay,St. James,-77.92388153,18.47130201
Hillside Villa,Round Hill Estate P.O. Box 64,Montego Bay,St. James,-77.91447972,18.48308428
Hotel Gloriana,2 Sunset Blvd,Montego Bay,St. James,-77.90339778,18.51052435
Hotel Inn Sunspree Re,Rose Hall P.O. Box 480,Montego Bay,St. James,-77.90273783,18.48232657
Hotel Montego,2 Federal Ave P.O. Box 74,Montego Bay,St. James,-77.90217438,18.25461693
Jack Tar Village (All,2Gloucester Ave P.O. Box 114,Montego Bay,St. James,-77.87597557,"18.505698512,"
Jamaica Grandiosa Res,3 Ramparts Close P.O. Box 139,Montego Bay,St. James,-77.87399176,18.50531824
La Casa de Familia,"292 Fairview Avenue, Torado H",Montego Bay,St. James,-77.86225356,18.51452555
La Mirage,6 Queen Drive,Montego Bay,St. James,-77.85915053,18.51714897
Leeward Villa,"Rose Hall Rd., Mahoe bay",Montego Bay,St. James,-77.8551635,18.5178384
Linkage Guest House,32 Church Street,Montego Bay,St. James,-77.85096202,18.02838317
Mahogany Hall,Unity Hall,Montego Bay,St. James,-77.83364582,18.52266688
Manevarose Guest Hous,"17 Claude Clarke Avenue, Whit",Montego Bay,St. James,-77.7785173,17.89178548
Mango Walk Villas,5 Mango Walk,Montego Bay,St. James,-77.76326016,17.88598501
Matt's Villa,"1042 Irving Drive, Ironshore",Montego Bay,St. James,-77.75612598,17.87526952
Montego Bay Club Reso,Gloucester Ave. White Sands P,Montego Bay,St. James,-77.60830814,18.48263621
Ocean View Guest Hous,"26 Sunset Boulevard, P.O. Box",Montego Bay,St. James,-77.53282927,18.48148823
Ora Vista Guest House,"Richmond Hill Road, P.O. Box",Montego Bay,St. James,-77.53239695,18.48223584
Orange River Lodge Lt,34 Fort Street P.O. Box 822,Montego Bay,St. James,-77.53239594,18.48261577
Palm Bay Guest House,"Lot 14 Bogue Estate, Whitesan",Montego Bay,St. James,-77.5300585,18.48042529
Palm View Guest House,22 Delisser Drive,Montego Bay,St. James,-77.52970811,18.48363164
R.T. Sundance Resort,1 kent Ave P.O. Box 467,Montego Bay,St. James,-77.39614973,18.45815527
Ramparts Inn Hotel,5 Ramparts Close P.O. Box 971,Montego Bay,St. James,-77.39433511,18.45465108
Reading Reef Club,"Reading P.O., P.O. Box 971",Montego Bay,St. James,-77.39387275,18.451004
Relax Resort,26 Hobbs Ave,Montego Bay,St. James,-77.39334111,18.45388542
Ridge Way Guest House,"34 Queen's Drive, P.O. Box 12",Montego Bay,St. James,-77.39211738,18.46149398
Rolexcia Guest House,88 Catherine Mount,Montego Bay,St. James,-77.33416803,18.46011624
Royal Court,13 Sewell Ave P.O. Box 195,Montego Bay,St. James,-77.32419432,18.46410799
Runnymede South Villa,"Springfarm, Rose Hall",Montego Bay,St. James,-77.32214911,18.45525728
Sahara De La Mer,"Pimento Cove, Unity Hall",Montego Bay,St. James,-77.32184395,"18.464869898,"
Sandals Inn (All Incl,Kent Ave P.O. Box 412,Montego Bay,St. James,-77.31409796,18.45148959
Sandals Montego Bay (,Kent Ave P.O. Box 100,Montego Bay,St. James,-77.31404947,18.44816636
Sandals Royal Jamaica,P.O. 167 Montego Bay,Montego Bay,St. James,-77.31309527,18.45132952
Sea Castle Resort,Rose Hall P.O. Box 55,Montego Bay,st. James,-77.30062706,18.46867124
Sea Esta,Mahoe Bay,Montego Bay,St. James,-77.20178027,18.42221599
Silent Waters Villa,River Lot Road,Montego Bay,St. James,-77.14163223,18.37077641
Sunset Beach Resort,Montego Bay Freeport,Montego Bay,St. James,-77.09959949,18.41221059
Verney Tropical Resor,3 Leader Ave P.O. Box 18,Montego Bay,St. James,-77.03513539,18.41931289
View Guest House,"56 Jarrett Terrace, P.O. Box",Montego Bay,St. James,-77.03279619,18.41709476
Wexford Hotel,39 Gloucester Ave P.O. Box 10,Montego BAy,St. James,-76.80793949,18.01630184
Winged Victory Hotel,5 Queen's Drive,Montego Bay,St. James,-76.78214361,18.0033188
Wyndham Rose Hall,Rose Hall P.O. Box 999,Montego Bay,St. James,-76.78163994,18.00187678
Ritz Carlton Rose Hal,"1 Ritz Carlton Drive, Rose Ha",MontegoBAy,St. James,-77.34321185,18.4632032
Blue Harbour,Sewell Ave,P.O. Box 212 Monte,St. James,-78.34896502,18.27608553
Casa Gabriel,"Content Reading, P.O. Box 23",Reading,St. James,-78.33781042,18.30109419
Destiny Villa,"Great River Private Estate, R",Reading,St. James,-78.05664913,18.4486385
Pharos Villa,P.O. Box 26,Reading,St. James,-77.50477694,"18.045927721,"
Sea Island Villa,"Great River Estate, Reading P",Reading,St. James,-77.17197971,18.42584667
Datura Villa,Long Hill Road P.O. Box 227,Readings P.O.,St. James,-78.05856471,18.44843607
Hotel Rio Bueno,"Gallery Joe James, Rio Bueno",Rio Bueno,St. James,-77.90026734,18.46875192
Abacus Villa,"Spring Farm, P.O. Box 463",Rose Hall,St. James,-78.36742194,18.27070585
Bien Venue,"Mahogany Way, Spring Farm",Rose Hall,St. James,-78.35652102,18.27298608
Cotton Wood Villa,"Cotton Wood Drive, P.O. Box 8",Rose Hall,St. James,-78.06235544,18.44956896
Windsong Villa,Springfarm Drive,Rose Hall,St. James,-76.7867455,"18.002693249,"
Dunn's Villa,"Rosehall, Little River P.O.",Rosehall,St. James,-78.0545671,18.44493311
Jamburu,"Spring Farm, Little River P.O",Spring Farm,St. James,-77.87107756,18.49768053
Sunning Hill,"Spring Farm Drive, P.O. Box 2",Spring Farm,St. James,-77.10237504,"18.411245321,"
Sea Breeze Inn,"20 Peters Avenue, Reading P.O",Spring Garden,St. James,-77.31111498,18.46622628
High View,Ash Hill Avenue,Torado Heights,St. James,-77.91795917,"18.478179379,"
Noble House,Unity Hall Main Road,Unity Hall,St. James,-77.53534912,18.48123245
Serenity Villa,Unity Hall Main Road,Unity Hall,St. James,-77.16291122,18.4300211
The Birches,Unity Hall Main Road,Unity Hall,St. James,-77.08528643,18.39567193
Tranquility Villa,"Unity Hall Main Road, Reading",Unity Hall,St. James,-77.05883928,18.41408821
South Sea View Guest,69 Southsea Park,White house,St. James,-77.10786258,18.40672115
Kingsway Villa,61 Kent Avenue,White Sands,St. James,-77.86406055,18.51615377
Swanlea,18 Sunset Boulevard,White Sands,St. James,-77.09857057,18.41256875
Villa Nia,5 Kent Avenue,White Sands,St. James,-76.97033626,18.40645151
Casa De Paradise,8 Queens Drive,,St. James,-78.33792582,"18.299136434,"
Club Calypso,P.O. Box 33,,St. James,-78.23919753,18.42774456
Fantasy Resort,Gloucester Avenue P.O Box 161,,St. James,-77.98978151,18.44795745
Montego Bay Racquet C,"Sewell Avenue, P.O. Box 245",,St. James,-77.60685603,18.48329193
Beaches Boscobel Hote,Boscobel St. Mary C/o 12 Traf,Boscobel,St. Mary,-78.36049645,18.25293448
Blue Haven Village,Boscobel P.O.,Boscobel,St. Mary,-78.34739972,18.2762616
Rica Vista Guest Hous,"c/o 9 Skibo Avenue, Kgn. 10",Boscobel,St. Mary,-77.39299694,18.44835035
Sea Chalets Villas 1-,,Boscobel,St. Mary,-77.22783931,18.44731531
Val Halla Villa,38 Rio Nuevo Circle,Boscobel,St. Mary,-77.04063931,18.41800668
Xayamaca,Boscobel P.O.,Boscobel,St. Mary,-76.77668013,18.02538565
Coral Cove 1 & 2,Fortland Road,Discovery Bay,St. Mary,-78.07495002,18.45065556
Trade Winds Resort,"c/o 24 Kew Road, Kgn 10","Galina, Port Maria",St. Mary,-77.05940431,18.41487592
Far View,Gibraltar,Oracabessa,St. Mary,-77.98961897,"18.44922664,0"
Golden Clouds,P.O. Box 332,Oracabessa,St. Mary,-77.92836328,18.48910812
Golden Eye,P.O. Box 118,Oracabessa,St. Mary,-77.92830561,18.48537242
Golden Seas Hotel,P.O. Box 1 Oracabessa,Oracabessa,St. Mary,-77.92803653,18.48864127
Loveland Villa,Oracabessa P.O.,Oracabessa,St. Mary,-77.8424315,18.01919858
Rock Edge Villa,,Oracabessa,St. Mary,-77.34043394,18.4631472
Tamarind Great House,"Cresent Estate, Oracabessa P.",Oracabessa,St. Mary,-77.09538206,18.41329632
Blue Harbour,P.O. Box 50,Port Maria,St. Mary,-78.35402089,18.24546573
Casa Maria,Port Maria P.O. Box 10,Port Maria,St. Mary,-78.33769338,18.30591441
Eight Rivers,Prospect Plantation P.O. Box,Prospect,St. Mary,-78.05357011,18.44371705
Emerald Seas,White River,Prospect,St. Mary,-78.05148985,18.44765013
Frangipangi Villa,"P.O. Box 8, Ocho Rios P.O.",Prospect,St. Mary,-77.94652653,18.44542372
Somewhere,"Prospect Plantation, P.O. Box",Prospect,St. Mary,-77.10801513,18.40742983
Villa Viento,"P.O. Box 44, Tower Isle",Prospect,St. Mary,-76.94414614,18.40998066
Wag Water,"Prospect Plantation, P.O. Box",Prospect,St. Mary,-76.90011801,18.4080239
Hill Sea View,Tower Isle P.O. Box 163,Rio Nuevo,St. Mary,-77.91607807,"18.4942302,0<"
Sonrise Beach Retreat,Robins Bay P.A.,Robin's Bay,St. Mary,-77.10789197,18.40581737
Cool Green,,Tower Isle,St. Mary,-78.0762592,18.4484508
Coral Cay Villas,P.O. Box 418,Tower Isle,St. Mary,-78.07553475,18.44911201
Edgewater Villa,,Tower Isle,St. Mary,-78.05358435,18.4483939
Four Palms Villa,,Tower Isle,St. Mary,-77.94943764,18.44591078
Gentle Winds,P.O. Box 108,Tower Isle,St. Mary,-77.94021853,18.45945518
Las Brisas,Jamaica Beach,Tower Isle,St. Mary,-77.85651025,18.52277703
Mikee Jack,10 Crest Terrace,Tower Isle,St. Mary,-77.68676052,18.48397636
Sea Castle Villa,Jamaica Beach,Tower Isle,St. Mary,-77.24970076,"17.963909339,"
Wind - Jammer,Tower Isle,Tower Isle,St. Mary,-76.79001548,18.00973693
Reef Point Retreat,P.O. Box 44,,St. Mary,-77.39361923,18.44973881
Bath Fountain Hotel,Bath P.O.,Beacon Hill,St. Thomas,-78.36368841,18.27437372
Morant Bay Villas,1Wharf Rd. Morant Bay P.O.,Morant Bay,St. Thomas,-77.54117743,18.48279198
Whispering Bamboo Res,"105 Crystal Dr. Retreat, St.",Retreat,St. Thomas,-76.79484105,18.05135375
Seacrest Resort,2 Richmond Estate P.O. Box 32,Priory,St.Ann,-77.16622736,18.42946616
The People's Choice,Sligoville Road,Spanish Town,St.Catheri,-77.07855104,18.40912726
Breezes Montego Bay (,Gloucester Ave. White Sands B,Montego Bay,St.James,-78.34241385,18.28743802
Cariblue Beach Hotel,Montego Bay Box 610,Montego Bay,St.James,-78.33843792,18.2981229
Davelyn Villa,"1133 Sugar Mill Road, P.O. Bo",Montego Bay,St.James,-78.05831764,18.44667236
Gibbs Chateau,54 Jarrett Terrace,Montego Bay,St.James,-77.92965514,18.48355952
Leader GuestApts,46 Leader Ave Montego Bay,Montego Bay,St.James,-77.85541248,18.52256459
Sea Gardens,"Kent Avenue, P.O. Box 300",Montego Bay,St.James,-77.19913483,18.43415106
Vista Embassador,"Gloucester Avenue, White Sand",Montego Bay,St.James,-76.92175532,18.41358596
Grand Lido Braco ( Al,Rio Bueno,Braco,Trelawny,-77.92697098,18.49019699
Starfish Trelawny,Cooper's Pen P.O. Box 94,Cooper's Pen,Trelawny,-77.10624127,18.40768604
Akwaaba,"Silver Sands Estates, Duncans",Duncans,Trelawny,-78.36708065,18.26805314
Ayasso Villa,"169 Silver Sands Estate, P.O.",Duncans,Trelawny,-78.3649289,18.25728636
Beach Haven Villa,Lot 177 Silver Sands,Duncans,Trelawny,-78.36285335,18.25717132
Berniedene Villa,Lot 151 Silver Sands,Duncans,Trelawny,-78.35807655,18.27166854
Blue Vista,189 Silver Sands Estate,Duncans,Trelawny,-78.34623846,18.28082141
Cannon Cottages,Silver Sands,Duncans,Trelawny,-78.33965784,18.29247687
Caribbean Dreams,"Silver Sands, P.O. Box 1",Duncans,Trelawny,-78.33893402,18.29666619
Casa Espana Villa,Lot 161 Silver Sands Resort,Duncans,Trelawny,-78.33784655,18.30740415
Casurina Villa,Lot 19 Silver Sands Resort,Duncans,Trelawny,-78.33744406,18.31241956
Chase Farm Villa,"Lot 127, Silver Sands",Duncans,Trelawny,-78.33678112,18.30461252
Coral Edge,Lot 23b Silver Sands Estate,Duncans,Trelawny,-78.07457931,18.44924789
Day - O,"Silver Sands Estate, Duncans",Duncans,Trelawny,-78.05793917,18.44746859
Doctor Bird,Silver Sands Estate,Duncans,Trelawny,-78.05604605,18.44879732
Dreamin Villa,"Silver Sands Estate, P.O. Box",Duncans,Trelawny,-78.05492409,18.44679585
Ebb Tide Villa,Silver Sands Estate,Duncans,Trelawny,-78.0538952,18.44750117
Emerald by the Sea,"Silver Sands Estate, P.O. Box",Duncans,Trelawny,-78.05268888,18.44784217
Endless Summer,Silver Sands Estate,Duncans,Trelawny,-78.03323699,18.17560176
Gwynmarvon Villa,"Silver Sands Estate, P.O. Box",Duncans,Trelawny,-77.92503288,"18.482553013,"
Hang Time Villa,Lot 236 Silver Sands Estate,Duncans,Trelawny,-77.92396149,18.4753671
Hastings Place,"Silver Sands Estate, P.O. Box",Duncans,Trelawny,-77.92331707,18.47364408
Honey Comb,Silver Sands Estate,Duncans,Trelawny,-77.91144847,18.46007418
Horizon Villa,"232 Silver Sands Estate, P.O.",Duncans,Trelawny,-77.90504511,18.46561739
Idle Hours,Lot 4 Silver Sands Estate,Duncans,Trelawny,-77.88104722,18.5131609
Jamma Home Villa,Silver Sands,Duncans,Trelawny,-77.87083899,18.49779528
Je Suis Content,"Silver Sands Estate, P.O. Box",Duncans,Trelawny,-77.86951607,18.50185091
Kamarr Villa,"Silver Sands Estate, P.O. Box",Duncans,Trelawny,-77.86829869,"18.50177344,0"
Kelso Villa,Silver Sands Estate,Duncans,Trelawny,-77.86643253,18.52022559
Kling Kling Villa,"152 Silver Sands Resort, P.O.",Duncans,Trelawny,-77.86393015,18.51617383
La Chez Cherie,"Silver Sands Estate, P.O Box",Duncans,Trelawny,-77.86094837,18.5168895
La Hacienda,Silversands Estate,Duncans,Trelawny,-77.8607716,18.51918303
Luck Now,"156 Silver Sands Estate, P.O.",Duncans,Trelawny,-77.84013514,18.51572716
Memories,"Lot 12 Silver Sands, P.O. Box",Duncans,Trelawny,-77.73729947,17.89055091
Miss P's Place,"Silver Sands Estate, P.O. Box",Duncans,Trelawny,-77.61435882,18.48710219
Nutshell Villa,"Silver Sands Estate, P.O. Box",Duncans,Trelawny,-77.53505236,18.48367987
Oh Boy,"Silver Sands Estate, P.O. Box",Duncans,Trelawny,-77.53271551,18.48377096
Orchid House,"Silver Sands, Duncans P.O.",Duncans,Trelawny,-77.5311615,18.47967862
Paradise Guest House,"Stewart Castle, P.O. Box 66",Duncans,Trelawny,-77.52934823,18.48476224
Pot of Gold,"3 Silver Sands Estate, P.O. B",Duncans,Trelawny,-77.40136825,18.45951364
Quadrille Villa,Quadrille Villa,Duncans,Trelawny,-77.39937004,18.46270731
Queen's Cottage,"Silver Sands, Duncans P.O.",Duncans,Trelawny,-77.39710796,18.45848239
Roots Villa,"49a Silver Sands Estate, P.O.",Duncans,Trelawny,-77.32580483,18.46309383
Rum Jetty,"Silver Sands Estate, Duncans",Duncans,Trelawny,-77.32262192,18.45684592
Salt Ash Villa,"149 Silver Sands Estate, P.O.",Duncans,Trelawny,-77.3207575,18.45402484
Santa Margharita,"188 Silver Sands, P.O. Box 1",Duncans,Trelawny,-77.31270256,18.46703255
Sea Gull Villa,"164 Silver Sands Estate, P.O",Duncans,Trelawny,-77.17226202,18.42737437
Sea Spice Villa,"15 Silver Sands Estate, P.O.",Duncans,Trelawny,-77.16903421,18.43419853
Sea Spray,"6 Silver Sands Estate, P.O. B",Duncans,Trelawny,-77.16758972,18.43122605
Sea WYF,"15 Silver Sands Estate, P.O.",Duncans,Trelawny,-77.16651727,18.42575213
Silver Pointe Villa,"Silver Sands Estate, P.O. Box",Duncans,Trelawny,-77.1147204,18.40469738
Silver Sands Motel,"Silver Sands, P.O. Box 1",Duncans,Trelawny,-77.11209057,18.40353352
